	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3	Series9_NHBE_Mock_1	Series9_NHBE_Mock_2	Series9_NHBE_Mock_3	Series9_NHBE_IAV_1	Series9_NHBE_IAV_2	Series9_NHBE_IAV_3
CST6	44	79	74	64	24	110	84	97	132	174	54	97
CATSPER1	5	3	7	4	1	10	0	1	1	5	1	0
GAL3ST3	0	0	0	0	0	0	0	0	0	0	0	1
SF3B2	3740	3376	5081	3422	3346	10061	1479	1486	1625	6809	1607	1338
PACS1	1103	903	1411	931	827	2594	500	441	331	2025	499	454
KLC2	590	584	829	726	503	1721	411	387	462	2035	475	396
RAB1B	5138	4433	6805	5452	4300	12505	1708	1675	1634	7535	1843	1736
CNIH2	5	4	5	2	3	9	1	2	1	7	2	1
YIF1A	231	274	401	318	201	741	357	395	511	1661	415	467
TMEM151A	0	0	1	1	0	4	2	0	0	0	0	2
CD248	4	4	8	1	4	4	0	0	0	0	0	2
RIN1	417	485	637	409	302	973	337	375	480	1264	318	374
BRMS1	537	591	839	497	433	1380	517	562	807	2226	566	590
SLC29A2	80	83	119	122	68	268	41	42	40	121	36	56
NPAS4	1	0	0	0	0	0	0	0	0	0	1	0
MRPL11	353	275	498	226	272	922	196	185	300	822	194	152
PELI3	44	61	91	65	42	153	19	34	36	81	22	20
DPP3	824	691	1149	877	736	2156	442	412	587	3011	764	704
BBS1	164	170	266	157	129	434	54	51	81	297	42	94
ZDHHC24	46	46	70	69	24	130	153	181	219	563	147	180
ACTN3	1	0	0	0	0	0	0	0	0	0	0	0
CTSF	63	65	86	49	50	130	15	11	16	69	27	39
CCDC87	1	2	7	4	5	3	2	2	1	10	4	5
CCS	231	261	304	241	169	578	73	85	117	375	71	80
RBM14	311	266	463	347	251	805	232	231	290	1131	290	367
RBM14-RBM4	0	0	0	0	0	0	0	0	0	0	0	0
RBM4	233	211	316	187	186	594	138	119	206	748	211	186
RBM4B	130	107	210	111	110	333	38	35	70	166	50	52
SPTBN2	594	585	797	730	471	1539	561	518	714	1681	408	699
C11orf80	187	208	259	177	183	555	127	132	174	511	110	104
RCE1	129	117	203	130	117	314	90	106	128	574	106	154
PC	503	505	790	696	473	1370	405	337	532	2316	566	414
LRFN4	58	70	95	90	36	145	159	143	151	643	109	167
C11orf86	0	0	0	0	0	0	0	0	1	0	0	0
SYT12	80	82	93	58	36	171	6	10	12	28	9	16
RHOD	1105	1156	1591	1096	768	2570	1145	1256	1888	4622	931	1448
KDM2A	2352	2265	3407	2056	2151	6638	779	742	670	4064	957	1040
ANKRD13D	250	315	455	368	214	768	223	201	282	749	181	149
SSH3	1501	1623	2327	1556	1158	3754	671	613	785	2222	513	489
LOC100130987	10	13	10	4	4	32	2	9	4	14	2	11
POLD4	613	620	843	709	500	1664	475	561	704	2297	550	470
CLCF1	168	185	251	169	193	562	133	115	113	436	72	67
RAD9A	79	104	129	80	75	199	43	41	39	216	51	49
PPP1CA	1693	1478	2399	1524	1333	4052	712	731	900	4396	979	768
TBC1D10C	0	0	0	1	0	0	0	0	0	2	0	1
CARNS1	1	1	0	0	0	6	0	2	0	0	0	0
RPS6KB2	620	628	881	750	468	1643	431	399	540	1645	431	433
PTPRCAP	1	0	1	5	2	4	1	2	2	11	1	3
CORO1B	514	557	875	776	412	1389	570	511	699	2350	565	465
GPR152	0	0	0	0	0	0	0	0	0	0	0	0
CABP4	0	0	0	0	0	1	2	0	0	5	0	4
TMEM134	123	151	134	161	89	276	159	197	263	655	141	189
AIP	181	189	240	184	152	512	74	94	106	338	101	95
PITPNM1	318	358	477	430	237	849	311	307	356	1577	411	384
CDK2AP2	404	412	541	427	352	1109	348	375	369	1849	375	333
CABP2	0	0	0	0	0	0	0	0	0	0	0	0
GSTP1	11844	11495	16479	12971	9207	31473	8670	8668	11912	39324	8991	9423
NDUFV1	1172	1278	1769	1326	1011	3173	536	509	720	2825	751	656
DOC2GP	1	1	0	1	0	0	0	0	0	0	0	1
NUDT8	5	13	10	17	11	20	23	19	63	56	15	22
TBX10	0	0	0	0	0	0	0	0	0	0	0	0
ACY3	0	0	3	0	0	0	1	0	0	0	0	0
ALDH3B2	74	72	85	67	53	146	82	93	92	130	25	128
FAM86C2P	31	37	33	17	19	55	13	17	12	44	11	17
UNC93B1	106	104	138	135	90	279	142	171	194	498	111	131
ALDH3B1	97	82	109	89	68	175	15	18	31	76	10	19
NDUFS8	406	344	526	468	277	963	361	338	446	1329	291	350
MIR4691	1	4	1	1	3	4	0	1	3	0	2	1
TCIRG1	297	438	519	441	262	899	476	516	667	1945	475	424
CHKA	149	163	258	98	88	322	46	52	79	261	53	73
C11orf24	798	772	1020	888	761	2350	353	353	382	1626	356	433
LRP5	466	461	685	625	368	1107	352	327	262	1727	461	502
PPP6R3	1861	1670	2631	1478	1573	4390	383	421	470	2810	516	668
GAL	9	16	23	18	12	58	43	47	79	321	72	67
CPT1A	451	477	757	346	354	987	129	137	250	1066	253	238
MRPL21	277	277	471	233	244	828	190	211	304	1054	245	258
IGHMBP2	164	159	219	197	150	505	120	147	169	626	154	138
MRGPRD	0	0	0	0	0	0	0	0	0	0	0	0
MRGPRF	0	0	0	0	0	0	1	2	0	2	0	0
TPCN2	161	149	218	166	138	409	118	105	151	722	149	165
MYEOV	39	33	43	74	60	236	24	19	34	58	12	40
CCND1	6028	5508	9798	5943	4975	16505	2903	2833	3890	16876	3459	5425
FGF19	0	0	0	0	0	0	0	0	0	0	0	0
FGF4	0	0	0	0	0	0	0	0	0	0	0	0
FGF3	0	0	0	0	0	0	0	0	0	1	0	0
ANO1	106	103	170	106	75	379	66	77	82	404	102	83
FADD	324	266	515	277	235	944	235	206	358	1523	322	286
PPFIA1	924	847	1328	805	795	2457	350	328	364	1699	444	395
MIR548K	0	0	0	0	0	0	0	0	0	0	0	0
CTTN	5083	4217	7282	4758	4486	13717	2032	2029	2637	13822	3053	2901
SHANK2	307	323	536	301	259	772	89	110	81	445	99	106
SHANK2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
SHANK2-AS3	0	0	0	0	0	0	0	0	0	0	0	0
MIR3664	0	0	0	0	0	0	0	0	0	0	0	0
FLJ42102	0	0	0	0	0	0	0	0	0	0	0	0
DHCR7	1311	1278	1542	1471	1284	3982	999	897	1071	3833	1042	801
NADSYN1	775	789	1198	843	743	2107	327	352	517	1509	390	443
KRTAP5-7	0	0	0	0	2	0	0	0	0	0	0	0
KRTAP5-8	0	0	0	0	0	0	0	0	0	9	0	1
KRTAP5-9	0	0	3	1	0	0	0	0	0	5	0	1
KRTAP5-10	0	0	0	0	0	2	0	0	0	0	0	1
KRTAP5-11	0	0	0	0	0	0	0	0	0	1	0	0
FAM86C1	67	83	96	64	60	221	26	38	27	85	21	25
ALG1L9P	1	0	0	1	0	0	1	1	0	4	0	3
DEFB108B	0	0	0	0	0	0	0	0	0	0	0	0
LOC100133315	14	16	22	10	9	35	1	2	0	11	1	3
RNF121	343	310	533	295	278	881	146	125	147	673	210	146
IL18BP	88	116	125	70	108	244	21	12	8	72	29	15
NUMA1	2668	2674	3916	2518	2149	6505	774	716	715	2498	523	666
MIR3165	0	0	0	0	0	0	0	0	0	0	0	0
LRTOMT	90	86	82	53	72	188	16	16	10	96	19	16
LAMTOR1	915	936	1505	890	722	2423	677	647	760	2421	689	698
ANAPC15	620	544	853	542	520	1661	50	40	72	198	69	42
FOLR3	96	101	132	84	86	220	67	62	71	322	84	114
FOLR1	79	122	152	101	85	290	8	14	16	35	6	31
FOLR2	0	0	0	0	0	3	0	0	0	0	0	0
INPPL1	1732	1771	2492	1773	1477	4483	844	798	950	3177	720	685
PHOX2A	0	0	0	0	0	0	0	0	0	0	0	0
CLPB	201	272	355	281	226	732	98	81	122	528	129	106
PDE2A	12	17	12	16	16	19	1	2	10	49	12	9
MIR139	0	0	0	0	0	0	0	0	0	0	0	0
ARAP1	1306	1327	1890	1452	1169	3209	453	445	556	2143	495	521
STARD10	281	267	431	302	257	823	243	243	302	899	186	230
MIR4692	0	0	0	0	0	0	0	0	0	0	0	0
ATG16L2	35	50	38	47	58	124	34	39	41	69	19	18
FCHSD2	281	271	424	185	221	666	92	87	103	415	104	100
P2RY2	536	472	602	664	527	1427	437	378	460	2395	546	408
P2RY6	20	31	28	45	40	145	5	6	6	19	4	6
ARHGEF17	399	377	538	412	317	1012	141	136	138	729	152	219
RELT	53	75	67	104	72	221	65	77	80	331	81	39
FAM168A	276	285	434	233	256	723	251	223	175	1073	279	267
PLEKHB1	7	5	8	1	4	7	1	0	1	0	0	0
RAB6A	2476	2856	6018	2467	2496	6789	855	890	1475	6548	1396	1788
MRPL48	313	244	383	236	234	774	140	141	229	533	164	131
COA4	332	310	609	443	340	1024	279	301	456	1489	373	416
PAAF1	531	436	581	384	411	1115	122	126	148	579	166	171
DNAJB13	4	11	4	3	8	10	3	0	0	0	0	4
UCP2	168	179	226	139	102	361	48	51	86	80	22	66
UCP3	8	8	28	1	8	19	4	6	4	12	3	6
C2CD3	273	245	385	191	235	612	103	108	85	553	132	121
PPME1	1105	1042	1383	912	905	2702	526	481	499	2355	615	763
P4HA3	8	5	6	3	7	19	2	6	3	18	1	0
PGM2L1	416	400	813	433	377	1225	115	93	132	1291	198	238
KCNE3	28	25	20	13	16	18	0	0	0	2	0	0
LIPT2	12	5	7	3	6	7	6	2	7	26	4	4
POLD3	212	190	327	158	160	433	114	100	95	403	119	86
CHRDL2	0	0	0	0	0	0	0	0	0	0	0	0
MIR4696	0	0	0	0	0	0	0	0	0	0	0	0
RNF169	445	404	705	381	378	1214	62	56	64	412	90	101
XRRA1	184	192	280	132	144	431	54	53	51	345	72	76
SPCS2	384	337	500	259	348	978	164	207	259	946	221	215
NEU3	96	88	128	64	74	228	19	16	11	200	58	59
OR2AT4	0	0	0	0	0	0	0	0	0	0	0	0
SLCO2B1	0	0	0	0	0	0	0	1	0	6	0	0
TPBGL	1	2	0	1	0	0	0	0	0	2	0	0
ARRB1	35	38	65	23	23	68	3	11	5	12	4	19
MIR326	0	0	0	0	0	0	0	0	0	0	0	0
RPS3	27892	23368	40774	22565	23210	72342	7626	7354	8695	31585	8105	7673
SNORD15A	4	0	13	0	5	9	2	0	0	10	3	1
SNORD15B	3	3	8	3	3	21	1	2	2	13	4	3
KLHL35	0	4	0	1	2	4	4	2	8	18	3	8
GDPD5	42	31	35	33	24	73	10	16	13	121	25	14
SERPINH1	2817	2713	3692	2916	2298	6879	1348	1401	1902	7180	1737	2182
MAP6	7	13	24	11	12	37	6	8	9	16	5	9
MOGAT2	3	0	0	1	0	0	0	0	0	0	0	0
LOC283214	0	0	0	0	0	0	0	0	0	0	0	0
DGAT2	30	17	28	25	20	57	30	27	40	62	8	22
UVRAG	176	139	307	147	161	406	92	84	91	617	125	129
WNT11	1	1	0	1	1	4	0	0	0	6	0	0
LRRC32	2	3	4	0	2	6	0	0	2	3	4	1
GUCY2EP	0	0	0	0	0	0	0	0	0	0	0	0
TSKU	1178	1378	1803	1331	950	3113	558	571	530	2314	561	699
ACER3	156	157	373	136	189	443	174	185	303	1814	307	292
B3GNT6	3	11	0	9	9	16	2	0	0	6	0	0
CAPN5	115	102	137	91	65	175	32	31	45	89	22	42
OMP	0	0	1	0	0	0	1	0	0	0	0	0
MYO7A	7	9	14	4	3	26	3	5	3	23	3	1
GDPD4	0	0	0	0	0	0	0	0	0	0	0	1
PAK1	1122	1027	1726	842	954	2734	435	431	515	2135	579	537
AQP11	0	1	0	0	1	1	0	0	2	11	1	6
CLNS1A	1982	1695	2508	1341	1710	4597	371	369	621	1705	414	601
RSF1	1169	1054	1907	902	937	2705	181	181	173	966	245	263
AAMDC	148	123	217	89	102	327	55	47	59	158	47	57
INTS4	253	220	360	182	223	643	100	77	87	429	92	91
NDUFC2-KCTD14	0	0	0	0	0	0	0	0	0	0	0	0
KCTD14	0	0	0	0	1	0	0	0	0	0	1	0
THRSP	0	0	0	0	0	0	0	0	0	0	0	0
NDUFC2	48	30	76	43	38	98	47	37	126	465	71	134
ALG8	177	177	345	137	173	425	142	162	182	684	122	207
KCTD21	214	218	313	185	184	521	60	98	84	365	110	102
USP35	227	233	345	262	261	673	84	93	134	465	87	102
GAB2	251	279	376	278	276	813	32	29	30	133	34	50
NARS2	106	102	178	126	119	316	106	134	158	658	113	211
TENM4	575	466	702	381	364	1083	115	107	76	604	177	249
MIR708	0	0	0	0	0	2	0	0	0	0	1	0
MIR5579	0	0	0	0	0	0	0	0	0	0	0	0
MIR4300	0	0	0	0	0	0	0	0	0	0	0	0
FAM181B	15	13	16	8	7	10	4	14	7	17	8	15
PRCP	629	630	1081	498	476	1218	139	169	206	943	218	320
RAB30	132	114	223	82	62	209	43	35	57	319	69	157
SNORA70E	0	0	0	0	0	0	0	0	0	0	0	0
PCF11	774	751	1255	647	631	1752	196	175	203	1209	231	476
ANKRD42	162	152	258	157	157	462	83	82	127	484	101	136
CCDC90B	723	706	1288	609	541	1825	134	150	325	1073	154	234
DLG2	17	13	21	11	5	14	0	2	3	1	1	4
TMEM126B	212	175	373	199	213	626	125	154	289	833	156	284
TMEM126A	66	91	160	88	65	181	80	71	160	509	144	153
CREBZF	425	465	556	370	336	958	118	113	267	849	180	207
CCDC89	0	1	1	1	1	10	0	0	1	0	0	0
SYTL2	175	224	385	137	154	477	23	20	36	78	12	24
CCDC83	1	0	0	0	0	0	0	0	0	0	0	0
PICALM	2382	2148	4235	1833	2095	5905	834	839	1262	6226	1262	1521
EED	167	141	257	113	130	364	77	92	141	543	108	146
CCDC81	0	4	13	6	6	15	3	1	3	5	2	3
ME3	37	52	55	41	33	150	20	16	26	58	15	28
PRSS23	4891	4525	6982	2812	3266	8977	1333	1293	1797	5798	1199	2399
OR7E2P	0	0	0	0	0	0	0	0	0	0	0	0
FZD4	41	30	43	25	22	98	11	7	3	63	7	11
LOC100506368	0	0	0	0	0	2	1	0	3	4	0	2
TMEM135	162	169	419	151	120	331	61	58	148	564	86	114
RAB38	587	494	887	489	455	1452	287	260	450	1453	294	440
CTSC	2218	2115	3644	2515	2521	6999	2693	2879	3157	13077	2854	2907
GRM5-AS1	0	0	0	0	0	4	0	0	0	0	0	0
GRM5	1	0	0	1	0	0	0	0	0	0	0	0
TYR	0	0	0	0	0	0	0	0	0	0	0	0
NOX4	3	2	0	3	1	2	1	4	3	11	0	0
FOLH1B	0	0	0	0	0	0	0	0	0	0	0	1
TRIM77	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49	0	0	2	0	0	0	0	0	0	0	0	0
MIR5692A1	0	0	0	0	0	0	0	0	0	0	0	0
TRIM53AP	0	0	0	0	0	0	0	0	0	0	0	0
TRIM64B	0	0	0	0	0	0	0	0	0	0	0	0
TRIM64	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49C	0	0	0	0	0	0	0	0	0	0	0	0
UBTFL1	0	0	0	0	0	0	0	0	0	0	0	0
NAALAD2	0	0	0	0	0	0	1	4	2	14	5	8
CHORDC1	574	510	1105	483	640	1732	202	242	364	1567	326	343
MIR4490	0	0	0	0	0	0	0	0	0	0	0	0
FAT3	0	0	0	0	0	0	0	0	0	2	0	0
MTNR1B	0	0	0	0	0	0	0	0	0	0	0	0
SLC36A4	28	24	79	37	29	74	36	39	59	318	52	71
SCARNA9	0	1	6	2	0	1	0	0	2	1	1	0
SNORA25	0	1	7	1	3	8	2	1	10	13	4	3
SNORA32	2	0	1	1	1	0	0	1	15	24	3	5
SNORD6	0	0	0	3	1	1	0	1	1	0	2	0
SNORA1	0	0	1	2	2	2	1	2	4	19	1	6
SNORA8	10	12	24	14	8	32	7	4	14	65	6	21
SNORD5	3	2	8	0	5	2	0	1	2	17	2	4
SNORA18	19	27	38	15	19	50	0	0	1	2	0	1
MIR1304	3	4	2	1	2	14	9	2	7	13	1	1
SNORA40	23	20	110	12	20	58	15	10	20	81	15	38
TAF1D	592	577	958	507	529	1468	241	303	507	1773	326	416
C11orf54	66	58	87	43	57	133	15	14	44	108	31	51
MED17	279	298	575	257	265	785	152	166	347	1294	242	255
VSTM5	2	7	5	0	1	16	2	4	2	3	1	2
HEPHL1	125	101	156	243	242	704	48	59	33	523	113	171
PANX1	456	386	791	480	429	1373	210	252	353	2100	506	558
GPR83	0	5	0	0	0	2	0	0	0	0	0	2
ANKRD49	117	159	307	108	133	264	37	44	69	305	38	67
FUT4	26	25	38	26	19	59	15	6	23	231	34	23
PIWIL4	6	1	2	4	4	13	3	0	2	8	1	3
AMOTL1	3963	3426	5839	3386	3339	9632	927	915	930	7699	1934	1496
CWC15	450	371	659	336	377	1344	292	331	451	1152	268	334
KDM4D	14	12	14	5	17	38	16	9	9	75	8	24
KDM4E	0	0	4	0	0	0	0	0	0	0	0	0
SRSF8	568	490	767	404	435	1128	289	244	415	1855	371	441
ENDOD1	1497	1536	2215	945	1005	2794	377	427	463	1760	412	711
SESN3	1037	1215	2571	755	717	1889	234	252	409	1347	239	985
FAM76B	147	183	312	124	164	347	33	35	55	269	52	78
CEP57	235	214	460	176	199	565	108	121	124	597	138	177
MTMR2	457	424	988	429	446	1255	251	246	439	2299	492	475
MAML2	500	369	724	340	372	1116	105	93	83	413	88	123
MIR1260B	0	1	0	0	1	0	0	0	0	0	0	0
CCDC82	252	260	729	242	219	737	79	71	133	697	141	233
JRKL	287	252	552	242	287	721	49	53	87	534	110	144
JRKL-AS1	0	0	0	0	0	0	0	0	0	0	0	0
CNTN5	0	3	3	0	1	3	1	0	0	3	0	0
ARHGAP42	66	54	90	45	66	116	20	26	35	154	51	45
PGR	0	0	0	0	0	0	0	0	0	0	0	0
TRPC6	1	6	4	0	2	3	4	4	1	14	4	9
MIR3920	0	0	0	0	0	0	0	0	0	0	0	0
ANGPTL5	0	0	0	0	0	0	0	0	0	2	0	0
YAP1	1574	1370	2549	1349	1129	3803	621	629	1019	6529	1210	1786
BIRC3	102	85	199	322	302	839	9	11	23	353	47	84
BIRC2	269	318	838	370	276	793	143	153	338	1753	333	435
TMEM123	2555	2680	4942	2160	2204	6002	729	751	1303	5376	914	1683
MMP7	23	33	37	33	26	62	2	1	1	4	1	9
MMP20	0	0	0	0	0	0	0	0	0	0	1	0
MMP27	0	0	0	0	0	0	0	0	0	0	0	0
MMP8	0	0	0	0	0	0	0	0	0	4	0	0
MMP10	148	116	210	154	193	519	126	155	133	2172	470	81
WTAPP1	7	8	1	9	11	34	1	0	0	7	3	2
MMP1	339	250	531	497	453	1407	228	274	614	9312	1690	321
MMP3	14	9	8	11	20	28	3	1	14	41	6	16
MMP12	2	1	7	2	7	6	5	1	1	91	16	5
MMP13	38	39	50	80	87	136	2	1	2	10	2	9
DCUN1D5	600	541	1057	527	480	1410	251	257	583	2578	418	561
DYNC2H1	216	256	560	183	228	496	92	93	104	582	140	198
MIR4693	0	0	0	0	0	0	0	0	0	0	0	0
PDGFD	9	19	20	3	8	21	2	2	7	18	5	9
DDI1	0	0	0	0	0	0	0	0	0	0	0	0
CASP12	0	0	0	0	0	0	0	0	0	0	2	0
CASP4	1384	1173	1966	1076	1218	3629	431	456	526	1732	464	596
CASP5	2	0	5	1	0	2	0	0	0	0	0	0
CASP1	307	303	540	240	299	855	126	124	209	573	126	265
CARD16	87	74	137	48	51	193	19	28	46	51	13	30
CARD17	21	14	17	12	8	26	1	3	7	22	2	10
CARD18	8	3	6	2	7	11	3	3	6	17	1	3
GRIA4	0	0	0	0	0	0	0	1	0	0	0	0
MSANTD4	193	173	339	127	195	442	77	74	139	647	103	152
KBTBD3	40	42	62	32	28	72	15	12	32	99	20	24
AASDHPPT	316	305	636	265	209	691	146	188	439	1697	242	488
GUCY1A2	0	0	0	0	1	0	0	0	0	0	0	0
CWF19L2	245	150	325	126	174	534	67	59	81	332	71	83
ALKBH8	192	135	347	102	159	377	57	49	78	364	77	75
ELMOD1	0	1	1	0	0	3	0	0	0	2	1	0
SLN	0	0	0	0	0	0	0	0	0	0	0	0
SLC35F2	1000	803	1256	677	737	2321	399	457	481	2721	591	493
RAB39A	0	0	0	0	0	0	0	0	0	0	0	0
CUL5	278	331	639	300	282	709	98	101	209	1341	211	309
ACAT1	488	428	777	386	388	1302	177	150	258	753	234	161
NPAT	164	133	187	111	106	337	58	58	65	351	57	95
ATM	381	376	775	322	301	902	118	102	191	951	169	264
C11orf65	42	23	64	23	24	72	1	4	1	10	4	5
KDELC2	39	30	72	26	21	93	61	52	56	328	53	50
EXPH5	172	165	286	115	124	276	27	33	48	117	24	34
DDX10	643	526	918	541	573	1674	179	204	232	788	202	224
C11orf87	0	1	0	0	0	0	0	1	2	0	0	0
ZC3H12C	153	159	301	243	235	580	57	57	74	725	133	111
RDX	2343	2110	3749	1717	1947	5664	585	646	695	3639	734	765
FDX1	227	171	322	137	163	488	88	110	190	713	101	137
ARHGAP20	3	2	8	2	0	3	0	0	1	0	0	1
C11orf53	0	0	0	0	0	0	0	0	0	0	0	0
MIR4491	0	0	0	0	0	0	0	0	0	0	0	0
POU2AF1	23	23	28	7	7	26	1	0	0	0	1	0
LOC100132078	0	0	0	0	0	0	0	0	0	0	0	1
BTG4	1	1	15	1	1	12	0	0	0	0	0	0
MIR34B	0	0	0	0	0	0	0	0	0	0	0	0
MIR34C	1	0	4	0	2	4	0	0	0	0	0	0
C11orf88	0	1	2	1	0	0	2	0	2	7	0	0
LAYN	290	253	375	230	253	824	79	70	72	152	44	128
SIK2	345	304	456	370	273	844	105	101	74	581	100	172
PPP2R1B	423	365	648	355	377	1204	210	220	295	1528	292	361
ALG9	406	364	700	321	377	969	153	151	181	878	207	226
FDXACB1	24	26	25	21	25	50	14	10	20	95	24	20
C11orf1	325	259	413	199	238	764	79	78	77	290	48	75
CRYAB	150	190	240	138	110	311	34	38	25	173	20	166
HSPB2-C11orf52	0	0	0	0	0	0	0	0	0	0	0	0
HSPB2	0	0	0	4	0	6	0	0	0	0	0	1
C11orf52	0	0	0	0	0	0	0	0	0	0	0	0
DIXDC1	336	275	477	226	262	755	43	46	85	401	79	133
DLAT	511	423	943	438	437	1544	296	300	505	2043	443	553
PIH1D2	9	8	8	6	11	33	4	3	8	42	5	5
TIMM8B	342	270	357	323	251	810	231	246	449	1412	375	355
SDHD	317	253	449	270	236	779	194	181	435	1278	268	436
IL18	465	805	2241	545	590	2063	441	474	989	2861	529	685
TEX12	0	0	0	0	0	0	0	0	0	0	0	0
BCO2	36	21	66	26	25	88	2	3	3	27	4	3
PTS	193	155	266	180	156	547	153	204	449	1195	200	397
NCAM1	0	1	0	1	1	0	0	0	4	7	0	1
TTC12	253	199	405	203	255	598	57	98	114	347	86	92
ANKK1	4	9	7	9	5	12	2	2	4	11	6	4
DRD2	3	0	0	1	1	4	1	0	0	6	0	0
MIR4301	0	0	0	0	0	0	0	0	0	0	0	0
TMPRSS5	2	0	4	1	0	4	0	2	1	2	1	2
ZW10	220	222	474	225	215	642	134	173	243	1006	225	278
CLDN25	0	0	0	0	0	0	0	0	0	0	0	0
USP28	249	229	445	223	223	616	101	105	87	570	114	154
HTR3B	1	0	0	0	0	0	0	0	0	0	0	0
HTR3A	0	1	2	0	0	0	0	0	0	0	0	0
ZBTB16	5	8	9	4	0	3	0	0	1	3	0	2
NNMT	11	8	11	16	8	16	0	0	3	13	3	11
C11orf71	12	14	31	17	22	55	15	11	19	61	8	25
RBM7	238	200	538	213	217	570	84	83	150	1054	214	217
REXO2	1817	1812	3307	1827	1537	4715	620	618	1047	2980	802	829
NXPE1	0	0	0	0	0	0	0	0	0	0	0	0
NXPE4	0	0	0	0	0	0	0	0	0	3	0	0
NXPE2	0	0	0	0	0	0	0	0	0	4	0	1
CADM1	13	15	21	9	13	20	1	2	0	11	1	1
BUD13	235	208	330	215	192	580	79	78	89	382	81	64
APOA5	0	0	0	0	0	0	0	0	1	0	0	0
APOA4	0	0	0	0	0	0	0	0	0	1	0	0
APOC3	0	0	0	0	0	0	0	0	0	1	0	0
APOA1	1	0	0	0	0	0	0	3	0	2	4	0
SIK3	572	511	809	492	452	1433	154	153	112	801	231	198
PAFAH1B2	1715	1779	3575	1560	1627	4587	567	636	881	4535	858	858
SIDT2	456	410	603	402	302	1107	98	107	109	439	115	199
LOC100652768	16	22	11	14	20	46	6	0	7	13	2	6
TAGLN	43	48	71	57	55	151	65	53	30	125	42	117
PCSK7	552	527	793	587	519	1496	202	188	214	1057	303	346
RNF214	392	325	512	302	354	944	91	94	82	390	91	77
BACE1	328	315	527	220	246	595	123	114	107	490	98	252
BACE1-AS	2	9	15	4	6	12	3	3	6	18	0	6
CEP164	502	527	732	486	451	1417	218	177	249	849	224	232
DSCAML1	0	0	0	0	0	0	0	0	0	0	1	0
FXYD2	0	0	0	0	0	0	0	0	0	0	0	0
FXYD6-FXYD2	0	0	0	0	0	0	0	0	0	0	0	0
FXYD6	0	0	0	0	0	0	0	0	0	0	0	0
TMPRSS13	55	46	55	44	43	169	37	57	52	97	22	60
IL10RA	0	0	0	0	1	1	1	0	0	0	1	1
TMPRSS4	1417	1469	2159	1331	1221	3427	180	196	291	532	106	275
SCN4B	56	56	61	32	41	84	7	5	7	22	14	26
SCN2B	46	24	44	18	17	42	4	5	2	3	1	1
MPZL3	174	136	257	123	130	380	103	141	218	886	211	201
MPZL2	1005	1196	2461	1009	1042	3102	475	501	833	2736	493	1315
CD3E	0	0	0	0	1	1	0	0	0	0	0	5
CD3D	0	0	0	0	0	0	0	0	0	0	0	0
CD3G	0	0	0	0	0	0	0	0	0	0	0	0
UBE4A	856	758	1296	661	753	2126	265	258	317	1792	383	405
LOC100131626	2	1	0	0	0	0	0	0	0	0	0	0
TTC36	0	1	3	0	0	0	2	0	0	0	1	0
TMEM25	267	285	361	288	246	720	100	95	107	252	62	98
IFT46	296	247	390	226	223	670	106	121	147	553	140	171
ARCN1	2620	2273	4124	2214	2265	6471	961	937	1215	7398	1721	1724
PHLDB1	1175	1185	1683	1038	934	2645	357	353	364	2159	495	314
TREH	1	2	2	0	0	2	0	0	0	1	0	0
DDX6	3178	2659	4839	2425	2828	7323	663	727	810	4274	816	975
CXCR5	0	0	0	0	1	4	0	0	1	0	0	0
BCL9L	3785	3728	4940	4160	3216	10219	1239	1105	953	7260	1600	1408
MIR4492	0	0	0	0	0	0	0	0	0	0	0	0
UPK2	25	19	26	38	25	100	20	29	20	48	9	4
FOXR1	0	0	0	0	0	0	0	0	0	0	0	0
CCDC84	126	156	200	126	115	402	76	86	69	244	37	42
RPL23AP64	0	0	0	0	0	0	6	4	6	9	3	4
RPS25	21187	17956	29702	16272	17796	50380	2647	2950	4142	11022	2655	2874
TRAPPC4	305	237	434	232	278	750	338	349	499	1938	460	551
SLC37A4	146	155	180	123	134	291	97	112	110	384	108	148
HYOU1	3354	2917	4553	3389	3278	9297	1454	1470	1177	12828	3276	2362
VPS11	688	630	944	514	590	1576	181	197	216	977	210	252
HMBS	171	142	240	159	138	421	197	180	220	747	190	161
H2AFX	140	145	222	154	103	342	432	448	307	1417	244	208
DPAGT1	498	438	669	445	466	1334	303	314	355	1312	313	400
C2CD2L	91	97	155	101	83	326	75	93	75	242	61	80
HINFP	231	232	300	216	207	615	88	86	109	404	112	122
ABCG4	4	13	6	3	6	7	1	3	4	1	0	2
NLRX1	170	200	282	233	151	490	124	144	134	481	123	207
PDZD3	2	0	0	0	0	0	0	0	0	0	1	1
CCDC153	5	7	11	2	2	13	0	3	2	6	0	1
CBL	728	629	1045	576	600	1835	214	188	145	1770	414	355
MCAM	3005	2733	4182	2855	2474	7600	1176	1030	1066	4246	1076	1191
RNF26	410	443	576	414	430	1090	215	237	179	1133	260	258
C1QTNF5	0	0	0	0	0	0	0	0	0	0	0	0
